,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
323,2015-11-20,8.54,3.96,85.19,85.95,84.3,85.04,2310068558.0,,,,
324,2015-11-21,18.56,14.78,,,,,,,,,
325,2015-11-22,12.94,6.39,,,,,,,,,
326,2015-11-23,3.73,-4.04,85.04,85.95,84.38,85.08,1989297068.0,Minnesota,Minneapolis,1.0,0.0
327,2015-11-24,4.77,-2.38,84.56,85.56,83.85,85.05,2217004900.0,,,,
328,2015-11-25,0.87,-6.14,85.14,85.81,84.59,85.22,1564587019.0,,,,
329,2015-11-26,1.1,-6.45,,,,,,,,,
330,2015-11-27,3.56,-3.01,85.24,85.83,84.7,85.36,791154818.0,Colorado,Colorado Springs,1.0,0.0
331,2015-11-28,6.5,0.58,,,,,,,,,
332,2015-11-29,6.63,1.95,,,,,,,,,
333,2015-11-30,7.6,2.14,85.47,85.99,84.43,84.89,2346747505.0,,,,
334,2015-12-01,7.58,1.72,85.25,86.26,84.61,85.79,2125662040.0,,,,
335,2015-12-02,8.36,4.48,85.69,86.29,84.47,84.8,2207882695.0,California,San Bernardino,1.0,0.0
336,2015-12-03,6.42,0.83,84.98,85.44,82.95,83.5,2702748793.0,,,,
337,2015-12-04,1.86,-5.09,83.66,85.38,83.2,85.02,2613646813.0,,,,
338,2015-12-05,1.88,-6.36,,,,,,New York,New York City,1.0,0.0
339,2015-12-06,4.26,-3.36,,,,,,,,,
340,2015-12-07,5.9,-0.62,84.69,85.28,83.53,84.39,2280974981.0,,,,
